Created date / time : 22 August 2026 / 15:19:00
Bank 12; Branch 3015; Account 0001464-55 (Savings On Call)
From date 20240822
To date 20260822
Avail Bal : 50.49 as of 20260821
Ledger Balance : 50.49 as of 20260822
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2024/08/30,2024083001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2024/09/02,2024090201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/09/2024",1.18
2024/09/02,2024090202,DEBIT,,"IRD:TAX ON INTEREST","",-0.12
2024/09/05,2024090501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",95.80
2024/09/05,2024090502,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-200.00
2024/09/13,2024091301,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2024/09/14,2024091401,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2024/09/17,2024091701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2024/09/19,2024091901,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2024/09/22,2024092201,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2024/09/22,2024092202,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-20.00
2024/09/23,2024092301,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-80.00
2024/09/25,2024092501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2024/10/02,2024100201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/10/2024",0.42
2024/10/02,2024100202,DEBIT,,"IRD:TAX ON INTEREST","",-0.04
2024/10/02,2024100203,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2024/10/15,2024101501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2024/10/25,2024102501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2024/11/02,2024110201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/11/2024",0.28
2024/11/02,2024110202,DEBIT,,"IRD:TAX ON INTEREST","",-0.02
2024/11/09,2024110901,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",100.00
2024/11/22,2024112201,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-315.00
2024/11/28,2024112801,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-70.00
2024/11/28,2024112802,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-15.64
2024/11/29,2024112901,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2024/12/02,2024120201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/12/2024",0.48
2024/12/02,2024120202,DEBIT,,"IRD:TAX ON INTEREST","",-0.05
2024/12/03,2024120301,TFR OUT,,"FN TRANSFER","TO 12-3015- 0001464-50",-50.00
2024/12/04,2024120401,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",150.00
2024/12/18,2024121801,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2024/12/29,2024122901,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-40.00
2025/01/02,2025010201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/01/2025",0.40
2025/01/02,2025010202,DEBIT,,"IRD:TAX ON INTEREST","",-0.04
2025/01/02,2025010203,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-60.00
2025/01/04,2025010401,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2025/01/09,2025010901,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/01/17,2025011701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2025/01/21,2025012101,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/01/24,2025012401,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/01/28,2025012801,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/01/29,2025012901,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",250.00
2025/01/29,2025012902,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/02/02,2025020201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/02/2025",0.69
2025/02/02,2025020202,DEBIT,,"IRD:TAX ON INTEREST","",-0.07
2025/02/03,2025020301,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/02/04,2025020401,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/02/08,2025020801,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/02/10,2025021001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/02/11,2025021101,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/02/12,2025021201,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",100.00
2025/02/12,2025021202,BILLPAY,,"PMT TO FC12-3497-0007278-01","BILL PAYMENT TO TF820916",-50.00
2025/02/17,2025021701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-50",400.00
2025/02/17,2025021702,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-200.00
2025/02/18,2025021801,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/02/23,2025022301,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-500.00
2025/02/27,2025022701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2025/03/02,2025030201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/03/2025",0.48
2025/03/02,2025030202,DEBIT,,"IRD:TAX ON INTEREST","",-0.05
2025/03/05,2025030501,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/03/06,2025030601,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/03/09,2025030901,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/03/10,2025031001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-51.84
2025/03/13,2025031301,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/03/13,2025031302,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",50.00
2025/03/16,2025031601,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2025/03/17,2025031701,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/03/28,2025032801,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/03/28,2025032802,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/03/28,2025032803,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-50",50.00
2025/04/02,2025040201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/04/2025",0.10
2025/04/02,2025040202,DEBIT,,"IRD:TAX ON INTEREST","",-0.01
2025/04/06,2025040601,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-10.00
2025/04/09,2025040901,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",110.00
